Coord Label,X coords (cm),Y coords (cm),,Weight Label,Mass (grams),,String Label,Length (cm)
0,0,0,,1,35,,1,15
1,11,11,,2,25,,2,10
2,20,15.5,,3,41,,3,13
3,32.5,16,,4,51,,4,9.5
4,41,11,,5,37,,5,5
5,45,7,,,,,6,7.5
6,50,0,,,,,,
